"","Date","dp_Nt1","dm_Nt1","dp_Nt","dm_Nt","meso","week","trt_Daphnia","trt_nutrient","days","trt_nutrient_bi"
"9","16.09.20",2484.66258,1863.4968,44,44,9,2,"Dp & Dm","low",12,0
"15","16.09.20",1168.26921,822.11544,44,44,15,2,"Dp & Dm","low",12,0
"20","16.09.20",1660.8834,1192.42908,44,44,20,2,"Dp & Dm","low",12,0
"25","16.09.20",3931.57908,757.89486,44,44,25,2,"Dp & Dm","low",12,0
"30","16.09.20",1081.60245,400.5936,44,44,30,2,"Dp & Dm","low",12,0
"39","23.09.20",8430.44328,5043.21147,2484.66258,1863.4968,9,3,"Dp & Dm","low",7,0
"45","23.09.20",9490.86342,979.21602,1168.26921,822.11544,15,3,"Dp & Dm","low",7,0
"50","23.09.20",6421.46022,2650.71906,1660.8834,1192.42908,20,3,"Dp & Dm","low",7,0
"55","23.09.20",6731.19774,3572.42346,3931.57908,757.89486,25,3,"Dp & Dm","low",7,0
"60","23.09.20",5681.47446,6684.0876,1081.60245,400.5936,30,3,"Dp & Dm","low",7,0
"69","30.09.20",6854.82777,3974.34168,8430.44328,5043.21147,9,4,"Dp & Dm","low",7,0
"75","30.09.20",5069.7225,2348.47431,9490.86342,979.21602,15,4,"Dp & Dm","low",7,0
"80","30.09.20",5559.64101,2819.53224,6421.46022,2650.71906,20,4,"Dp & Dm","low",7,0
"85","30.09.20",5555.9952,3205.38195,6731.19774,3572.42346,25,4,"Dp & Dm","low",7,0
"90","30.09.20",6036.29658,10652.2884,5681.47446,6684.0876,30,4,"Dp & Dm","low",7,0
"99","07.10.20",3958.94439,2125.32795,6854.82777,3974.34168,9,5,"Dp & Dm","low",7,0
"105","07.10.20",285.88707,449.25138,5069.7225,2348.47431,15,5,"Dp & Dm","low",7,0
"110","07.10.20",2391.89193,3202.70274,5559.64101,2819.53224,20,5,"Dp & Dm","low",7,0
"115","07.10.20",2128.77801,3193.16688,5555.9952,3205.38195,25,5,"Dp & Dm","low",7,0
"120","07.10.20",3309.77799,6308.04726,6036.29658,10652.2884,30,5,"Dp & Dm","low",7,0
"129","14.10.20",4388.42988,2157.02487,3958.94439,2125.32795,9,6,"Dp & Dm","low",7,0
"135","14.10.20",189.04914,302.47857,285.88707,449.25138,15,6,"Dp & Dm","low",7,0
"140","14.10.20",530.15418,4582.04769,2391.89193,3202.70274,20,6,"Dp & Dm","low",7,0
"145","14.10.20",592.7553,6964.87383,2128.77801,3193.16688,25,6,"Dp & Dm","low",7,0
"150","14.10.20",2900.39076,5198.10264,3309.77799,6308.04726,30,6,"Dp & Dm","low",7,0
"159","21.10.20",7076.3841,2800.28043,4388.42988,2157.02487,9,7,"Dp & Dm","low",7,0
"165","21.10.20",390.34251,351.30834,189.04914,302.47857,15,7,"Dp & Dm","low",7,0
"170","21.10.20",231.29631,3777.84135,530.15418,4582.04769,20,7,"Dp & Dm","low",7,0
"175","21.10.20",114.94251,5785.44066,592.7553,6964.87383,25,7,"Dp & Dm","low",7,0
"180","21.10.20",1503.55008,3871.64151,2900.39076,5198.10264,30,7,"Dp & Dm","low",7,0
"189","29.10.20",5338.60605,3636.92538,7076.3841,2800.28043,9,8,"Dp & Dm","low",8,0
"195","29.10.20",419.66937,534.12453,390.34251,351.30834,15,8,"Dp & Dm","low",8,0
"200","29.10.20",157.04523,3926.13048,231.29631,3777.84135,20,8,"Dp & Dm","low",8,0
"205","29.10.20",157.59522,5279.4396,114.94251,5785.44066,25,8,"Dp & Dm","low",8,0
"210","29.10.20",339.90759,2417.12127,1503.55008,3871.64151,30,8,"Dp & Dm","low",8,0
